angle_force_constant,angle_equil_value
8.00000000E+01,2.14501057E+00
5.00000000E+01,2.12755727E+00
5.00000000E+01,2.12755727E+00
3.50000000E+01,2.09439600E+00
7.00000000E+01,2.09439600E+00
5.00000000E+01,2.09439600E+00
5.00000000E+01,1.91113635E+00
3.50000000E+01,1.91113635E+00
5.00000000E+01,2.06647072E+00
5.00000000E+01,2.15024656E+00
5.00000000E+01,1.91113635E+00
3.50000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
8.00000000E+01,1.94080696E+00
6.30000000E+01,1.93906163E+00
4.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
4.00000000E+01,1.91113635E+00
8.00000000E+01,2.10137732E+00
7.00000000E+01,2.03505478E+00
5.00000000E+01,1.91113635E+00
3.50000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
8.00000000E+01,1.94080696E+00
8.00000000E+01,1.94080696E+00
5.00000000E+01,2.09439600E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,2.05948940E+00
5.00000000E+01,1.91113635E+00
8.00000000E+01,1.91462701E+00
8.00000000E+01,1.91462701E+00
5.00000000E+01,1.91113635E+00
6.30000000E+01,1.92160833E+00
8.00000000E+01,2.19911580E+00
5.00000000E+01,1.91113635E+00
7.00000000E+01,2.04203610E+00
6.30000000E+01,1.93906163E+00
5.00000000E+01,2.06018753E+00
5.00000000E+01,2.09439600E+00
6.30000000E+01,2.09439600E+00
5.00000000E+01,1.91113635E+00
7.00000000E+01,2.09439600E+00
6.30000000E+01,1.98967620E+00
6.80000000E+01,1.80990721E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,2.00189351E+00
6.30000000E+01,1.93906163E+00
7.00000000E+01,2.09439600E+00
5.00000000E+01,1.97222290E+00
5.00000000E+01,2.09439600E+00
6.30000000E+01,2.09439600E+00
6.30000000E+01,2.09439600E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.50000000E+01,1.89368305E+00
5.00000000E+01,1.91113635E+00
3.50000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
3.50000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
5.00000000E+01,1.91113635E+00
8.00000000E+01,1.94080696E+00
3.50000000E+01,2.09439600E+00
8.00000000E+01,2.10137732E+00
7.00000000E+01,2.03505478E+00
6.20000000E+01,1.72613137E+00
5.00000000E+01,2.00189351E+00
7.00000000E+01,2.04203610E+00
