dihedral_force_constant,dihedral_periodicity,dihedral_phase 
2.50000000E+00,2.00000000E+00,3.14159400E+00
0.00000000E+00,2.00000000E+00,0.00000000E+00
2.00000000E+00,1.00000000E+00,0.00000000E+00
2.00000000E+00,2.00000000E+00,0.00000000E+00
4.00000000E-01,3.00000000E+00,0.00000000E+00
0.00000000E+00,4.00000000E+00,0.00000000E+00
0.00000000E+00,1.00000000E+00,0.00000000E+00
2.70000000E-01,2.00000000E+00,0.00000000E+00
4.20000000E-01,3.00000000E+00,0.00000000E+00
2.40000000E+00,2.00000000E+00,3.14159400E+00
0.00000000E+00,3.00000000E+00,0.00000000E+00
1.55555556E-01,3.00000000E+00,0.00000000E+00
1.50000000E-01,3.00000000E+00,0.00000000E+00
1.60000000E-01,3.00000000E+00,0.00000000E+00
2.00000000E-01,1.00000000E+00,0.00000000E+00
2.00000000E-01,2.00000000E+00,0.00000000E+00
2.00000000E-01,1.00000000E+00,3.14159400E+00
2.50000000E-01,2.00000000E+00,3.14159400E+00
1.80000000E-01,3.00000000E+00,0.00000000E+00
8.00000000E-01,1.00000000E+00,0.00000000E+00
8.00000000E-02,3.00000000E+00,3.14159400E+00
4.50000000E-01,1.00000000E+00,3.14159400E+00
1.58000000E+00,2.00000000E+00,3.14159400E+00
5.50000000E-01,3.00000000E+00,3.14159400E+00
3.62500000E+00,2.00000000E+00,3.14159400E+00
3.33333333E-01,3.00000000E+00,0.00000000E+00
3.50000000E+00,2.00000000E+00,0.00000000E+00
6.00000000E-01,3.00000000E+00,0.00000000E+00
2.30000000E+00,2.00000000E+00,3.14159400E+00
2.50000000E-01,1.00000000E+00,0.00000000E+00
1.66666667E-01,3.00000000E+00,0.00000000E+00
1.05000000E+01,2.00000000E+00,3.14159400E+00
1.00000000E+00,2.00000000E+00,3.14159400E+00
1.10000000E+00,2.00000000E+00,3.14159400E+00
